date,zdgtqi: cugang: kucun: huangbi
2017/5/10,-2.62
2017/4/30,-3.49
2017/4/20,1.91
2017/4/10,8.03
2017/3/31,-6.9
2017/3/20,0.54
2017/3/10,7.95
2017/2/28,-7.58
2017/2/20,-24.64
2017/2/10,1.82
2017/1/31,14.96
2017/1/20,-2.29
2017/1/10,2.35
2016/12/31,-3.31
2016/12/20,-0.69
2016/12/10,3.4
2016/11/30,-77.06
2016/11/20,1.95
2016/11/10,3.52
2016/10/31,-8.36
2016/10/20,-1.89
2016/10/10,5.5
2016/9/30,-7.33
2016/9/20,3.22
2016/9/10,10.95
2016/8/31,-7.02
2016/8/20,-0.3
2016/8/10,4.12
2016/7/31,-8.07
2016/7/20,1.23
2016/7/10,4.27
2016/6/30,-9.9
2016/6/20,3.43
2016/6/10,1.7
2016/5/31,-0.6
2016/5/20,1.68
2016/5/10,11.96
2016/4/30,-5.09
2016/4/20,0.69
2016/4/10,7.12
2016/3/31,-12.35
2016/3/20,0.36
2016/3/10,-0.64
2016/2/29,-5.67
2016/2/20,5.62
2016/2/10,15.22
2016/1/31,-3.89
2016/1/20,1.15
2016/1/10,-0.51
2015/12/31,-15.32
2015/12/20,2.32
2015/12/10,-0.28
2015/11/30,-5.33
2015/11/20,1.07
2015/11/10,1.51
2015/10/31,-9.38
2015/10/20,8.38
2015/10/10,1.89
2015/9/30,-7.54
2015/9/20,-1.06
2015/9/10,5.6
2015/8/31,-0.85
2015/8/20,-0.41
2015/8/10,2.58
2015/7/31,-9.12
2015/7/20,1.56
2015/7/10,0.04
2015/6/30,-6.21
2015/6/20,7.04
2015/6/10,3.03
2015/5/31,-4.45
2015/5/20,4.62
2015/5/10,6.08
2015/4/30,-10.27
2015/4/20,1.26
2015/4/10,6.58
2015/3/31,-10.95
2015/3/20,-0.08
2015/3/10,1.39
2015/2/28,4.02
2015/2/20,10.4
2015/2/10,1.02
2015/1/31,0.03
2015/1/20,8.25
2015/1/10,2.98
2014/12/31,-11.02
2014/12/20,1.18
2014/12/10,2.76
2014/11/30,-1
2014/11/20,3.29
2014/11/10,-1.03
2014/10/31,-9.66
2014/10/20,-0.21
2014/10/10,5.21
2014/9/30,-6.21
2014/9/20,5.03
2014/9/10,6.28
2014/8/31,-6.62
2014/8/20,4.68
2014/8/10,3.44
2014/7/31,-4.89
2014/7/20,2.31
2014/7/10,4.01
2014/6/30,-7.93
2014/6/20,4.02
2014/6/10,4.89
2014/5/31,-7.64
2014/5/20,4.89
2014/5/10,-0.29
2014/4/30,-9.33
2014/4/20,4.47
2014/4/10,-1.85
2014/3/31,-9.47
2014/3/20,2.26
2014/3/10,2.52
2014/2/28,-5.86
2014/2/20,5.74
2014/2/10,20.02
2014/1/31,4.3
2014/1/20,7.43
2014/1/10,-5.69
2013/12/31,-6.84
2013/12/20,4.61
2013/12/10,1.99
2013/11/30,-7.03
2013/11/20,7.8
2013/11/10,0.39
2013/10/31,-6.61
2013/10/20,2.12
2013/10/10,7.05
2013/9/30,-4.59
2013/9/20,4.96
2013/9/10,1.16
2013/8/31,-2.93
2013/8/20,5.47
2013/8/10,-1.53
2013/7/31,-5.72
2013/7/20,2.72
2013/7/10,0.58
2013/6/30,-6.45
2013/6/20,5.5
2013/6/10,-0.9
2013/5/31,-5.24
2013/5/20,4.51
2013/5/10,1.71
2013/4/30,-5.8
2013/4/20,-0.52
2013/4/10,0.2
2013/3/31,-5.56
2013/3/20,12.99
2013/3/10,1.54
2013/2/28,-2.45
2013/2/20,13.36
2013/2/10,8.03
2013/1/31,-1.17
2013/1/20,7.17
2013/1/10,5.71
2012/12/31,-12.89
2012/12/20,5.12
2012/12/10,-0.67
2012/11/30,-2.26
2012/11/20,5.72
2012/11/10,-3.08
2012/10/31,-5.9
2012/10/20,2.46
2012/10/10,-7.17
2012/9/30,-8.53
2012/9/20,-3.8
2012/9/10,-1.8
2012/8/31,-1.64
2012/8/20,0.73
2012/8/10,0.58
2012/7/31,-1
2012/7/20,5.59
2012/7/10,3.56
2012/6/30,-6.3
2012/6/20,5.56
2012/6/10,0.17
2012/5/31,-5.04
2012/5/20,-0.98
2012/5/10,6.26
2012/4/30,
2012/4/20,
2012/4/10,3.7
2012/3/31,-3.35
2012/3/20,3.91
2012/3/10,
2012/2/29,
2012/2/20,7.6
2012/2/10,5.46
2012/1/31,
